Operation,Parameters,Query,ObjectType,NonPIIParameters,UserServicePlan,UserType,ObjectId,SecurityComplianceCenterEventType,ResultStatus,SharepointLocations,Case,OrganizationId,ClientApplication,PublicFolderLocations,UserKey,UserId,CreationTime,CmdletVersion,Version,RecordType,ExtendedProperties,Workload,ExchangeLocations,Id,StartTime,EffectiveOrganization
SearchViewed,*REDACTED*,*REDACTED*,Search,,,0,*REDACTED*,,,,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-12-02T20:30:05,,1,24,*REDACTED*,SecurityComplianceCenter,*REDACTED*,*REDACTED*,,
SearchViewed,*REDACTED*,*REDACTED*,Search,,,0,*REDACTED*,,,,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-12-02T20:30:07,,1,24,*REDACTED*,SecurityComplianceCenter,*REDACTED*,*REDACTED*,,
SearchViewed,*REDACTED*,*REDACTED*,Search,,,0,*REDACTED*,,,,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-12-02T20:30:07,,1,24,*REDACTED*,SecurityComplianceCenter,*REDACTED*,*REDACTED*,,
SearchViewed,*REDACTED*,*REDACTED*,Search,,,0,*REDACTED*,,,,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-12-02T20:30:12,,1,24,*REDACTED*,SecurityComplianceCenter,*REDACTED*,*REDACTED*,,
SearchViewed,*REDACTED*,*REDACTED*,Search,,,0,*REDACTED*,,,,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-12-02T20:30:12,,1,24,*REDACTED*,SecurityComplianceCenter,*REDACTED*,*REDACTED*,,
SearchViewed,*REDACTED*,*REDACTED*,Search,,,0,*REDACTED*,,,,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-12-02T20:31:17,,1,24,*REDACTED*,SecurityComplianceCenter,*REDACTED*,*REDACTED*,,
SearchUpdated,*REDACTED*,*REDACTED*,Search,,,0,*REDACTED*,,,,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-12-02T20:31:17,,1,24,*REDACTED*,SecurityComplianceCenter,*REDACTED*,*REDACTED*,,
SearchViewed,*REDACTED*,*REDACTED*,Search,,,0,*REDACTED*,,,,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-12-02T20:31:17,,1,24,*REDACTED*,SecurityComplianceCenter,*REDACTED*,*REDACTED*,,
SearchUpdated,*REDACTED*,*REDACTED*,Search,,,0,*REDACTED*,,,,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-12-02T20:31:17,,1,24,*REDACTED*,SecurityComplianceCenter,*REDACTED*,*REDACTED*,,
SearchViewed,*REDACTED*,*REDACTED*,Search,,,0,*REDACTED*,,,,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-12-02T20:31:18,,1,24,*REDACTED*,SecurityComplianceCenter,*REDACTED*,*REDACTED*,,
