Operation,SiteUrl,MachineId,TargetUserOrGroupType,MachineDomainInfo,Site,WebId,UserAgent,ClientIP,ListId,DestinationFileExtension,EventSource,UserType,ObjectId,DestinationFileName,ModifiedProperties,SourceRelativeUrl,OrganizationId,FileSyncBytesCommitted,SourceFileExtension,SourceFileName,UserKey,DestinationRelativeUrl,UserId,CreationTime,TargetUserOrGroupName,EventData,Version,ListItemUniqueId,RecordType,CorrelationId,ItemType,Workload,ImplicitShare,UniqueSharingId,Id,CustomUniqueId
FileSyncDownloadedFull,*REDACTED*,*REDACTED*,,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,,SharePoint,0,*REDACTED*,,,*REDACTED*,*REDACTED*,18795,xlsx,*REDACTED*,*REDACTED*,,*REDACTED*,2019-11-26T14:18:37,,,1,*REDACTED*,6,*REDACTED*,File,OneDrive,,,*REDACTED*,
FileAccessedExtended,*REDACTED*,,,,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,,SharePoint,0,*REDACTED*,,,*REDACTED*,*REDACTED*,,xlsx,*REDACTED*,*REDACTED*,,*REDACTED*,2019-11-26T14:22:18,,,1,*REDACTED*,6,*REDACTED*,File,OneDrive,,,*REDACTED*,
FileModified,*REDACTED*,,,,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,,SharePoint,0,*REDACTED*,,,*REDACTED*,*REDACTED*,,xlsx,*REDACTED*,*REDACTED*,,*REDACTED*,2019-11-26T14:22:19,,,1,*REDACTED*,6,*REDACTED*,File,OneDrive,,,*REDACTED*,
FileSyncDownloadedFull,*REDACTED*,*REDACTED*,,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,,SharePoint,0,*REDACTED*,,,*REDACTED*,*REDACTED*,18788,xlsx,*REDACTED*,*REDACTED*,,*REDACTED*,2019-11-26T14:22:21,,,1,*REDACTED*,6,*REDACTED*,File,OneDrive,,,*REDACTED*,
FileAccessedExtended,*REDACTED*,,,,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,,SharePoint,0,*REDACTED*,,,*REDACTED*,*REDACTED*,,aspx,*REDACTED*,*REDACTED*,,*REDACTED*,2019-11-26T14:22:23,,,1,*REDACTED*,6,*REDACTED*,File,OneDrive,,,*REDACTED*,
FileModifiedExtended,*REDACTED*,,,,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,,SharePoint,0,*REDACTED*,,,*REDACTED*,*REDACTED*,,xlsx,*REDACTED*,*REDACTED*,,*REDACTED*,2019-11-26T14:22:48,,,1,*REDACTED*,6,*REDACTED*,File,OneDrive,,,*REDACTED*,
FileAccessedExtended,*REDACTED*,,,,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,,SharePoint,0,*REDACTED*,,,*REDACTED*,*REDACTED*,,xlsx,*REDACTED*,*REDACTED*,,*REDACTED*,2019-11-26T14:22:48,,,1,*REDACTED*,6,*REDACTED*,File,OneDrive,,,*REDACTED*,
FileSyncDownloadedFull,*REDACTED*,*REDACTED*,,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,,SharePoint,0,*REDACTED*,,,*REDACTED*,*REDACTED*,18787,xlsx,*REDACTED*,*REDACTED*,,*REDACTED*,2019-11-26T14:22:51,,,1,*REDACTED*,6,*REDACTED*,File,OneDrive,,,*REDACTED*,
FileAccessedExtended,*REDACTED*,,,,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,,SharePoint,0,*REDACTED*,,,*REDACTED*,*REDACTED*,,aspx,*REDACTED*,*REDACTED*,,*REDACTED*,2019-11-26T14:22:51,,,1,*REDACTED*,6,*REDACTED*,File,OneDrive,,,*REDACTED*,
FileAccessedExtended,*REDACTED*,,,,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,,SharePoint,0,*REDACTED*,,,*REDACTED*,*REDACTED*,,xlsx,*REDACTED*,*REDACTED*,,*REDACTED*,2019-11-26T14:23:18,,,1,*REDACTED*,6,*REDACTED*,File,OneDrive,,,*REDACTED*,
