Operation,ClientIP,UserType,ObjectId,Actor,SupportTicketId,ResultStatus,ModifiedProperties,OrganizationId,ActorIpAddress,Target,AzureActiveDirectoryEventType,UserKey,UserId,CreationTime,TargetContextId,Version,RecordType,ExtendedProperties,InterSystemsId,Workload,ActorContextId,IntraSystemId,Id,ApplicationId
UserLoggedIn,*REDACTED*,0,*REDACTED*,*REDACTED*,,Succeeded,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,1,*REDACTED*,*REDACTED*,2019-11-26T08:39:27,*REDACTED*,1,15,*REDACTED*,*REDACTED*,AzureActiveDirectory,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*
UserLoggedIn,*REDACTED*,0,*REDACTED*,*REDACTED*,,Succeeded,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,1,*REDACTED*,*REDACTED*,2019-11-26T08:57:12,*REDACTED*,1,15,*REDACTED*,*REDACTED*,AzureActiveDirectory,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*
UserLoggedIn,*REDACTED*,0,*REDACTED*,*REDACTED*,,Succeeded,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,1,*REDACTED*,*REDACTED*,2019-11-26T10:22:55,*REDACTED*,1,15,*REDACTED*,*REDACTED*,AzureActiveDirectory,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*
UserLoggedIn,*REDACTED*,0,*REDACTED*,*REDACTED*,,Succeeded,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,1,*REDACTED*,*REDACTED*,2019-11-26T11:48:56,*REDACTED*,1,15,*REDACTED*,*REDACTED*,AzureActiveDirectory,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*
UserLoggedIn,*REDACTED*,0,*REDACTED*,*REDACTED*,,Succeeded,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,1,*REDACTED*,*REDACTED*,2019-11-26T13:15:53,*REDACTED*,1,15,*REDACTED*,*REDACTED*,AzureActiveDirectory,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*
UserLoggedIn,*REDACTED*,0,*REDACTED*,*REDACTED*,,Succeeded,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,1,*REDACTED*,*REDACTED*,2019-11-26T13:18:47,*REDACTED*,1,15,*REDACTED*,*REDACTED*,AzureActiveDirectory,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*
UserLoggedIn,*REDACTED*,0,*REDACTED*,*REDACTED*,,Succeeded,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,1,*REDACTED*,*REDACTED*,2019-11-26T13:18:47,*REDACTED*,1,15,*REDACTED*,*REDACTED*,AzureActiveDirectory,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*
UserLoggedIn,*REDACTED*,0,*REDACTED*,*REDACTED*,,Succeeded,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,1,*REDACTED*,*REDACTED*,2019-11-26T13:18:50,*REDACTED*,1,15,*REDACTED*,*REDACTED*,AzureActiveDirectory,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*
UserLoggedIn,*REDACTED*,0,*REDACTED*,*REDACTED*,,Succeeded,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,1,*REDACTED*,*REDACTED*,2019-11-26T13:18:50,*REDACTED*,1,15,*REDACTED*,*REDACTED*,AzureActiveDirectory,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*
UserLoggedIn,*REDACTED*,0,*REDACTED*,*REDACTED*,,Succeeded,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,1,*REDACTED*,*REDACTED*,2019-11-26T13:18:52,*REDACTED*,1,15,*REDACTED*,*REDACTED*,AzureActiveDirectory,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*
UserLoggedIn,*REDACTED*,0,*REDACTED*,*REDACTED*,,Succeeded,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,1,*REDACTED*,*REDACTED*,2019-11-26T13:18:53,*REDACTED*,1,15,*REDACTED*,*REDACTED*,AzureActiveDirectory,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*
