Operation,UserKey,UserId,CreationTime,Version,RecordType,Workload,UserType,ObjectId,Id,OrganizationId
TeamsSessionStarted,*REDACTED*,*REDACTED*,2019-12-02T09:30:13,1,25,MicrosoftTeams,0,*REDACTED*,*REDACTED*,*REDACTED*
TeamsSessionStarted,*REDACTED*,*REDACTED*,2019-12-02T09:30:29,1,25,MicrosoftTeams,0,*REDACTED*,*REDACTED*,*REDACTED*
TeamsSessionStarted,*REDACTED*,*REDACTED*,2019-12-02T09:30:29,1,25,MicrosoftTeams,0,*REDACTED*,*REDACTED*,*REDACTED*
TeamsSessionStarted,*REDACTED*,*REDACTED*,2019-12-02T09:30:53,1,25,MicrosoftTeams,0,*REDACTED*,*REDACTED*,*REDACTED*
TeamsSessionStarted,*REDACTED*,*REDACTED*,2019-12-02T09:30:53,1,25,MicrosoftTeams,0,*REDACTED*,*REDACTED*,*REDACTED*
TeamsSessionStarted,*REDACTED*,*REDACTED*,2019-12-02T09:31:11,1,25,MicrosoftTeams,0,*REDACTED*,*REDACTED*,*REDACTED*
TeamsSessionStarted,*REDACTED*,*REDACTED*,2019-12-02T09:31:11,1,25,MicrosoftTeams,0,*REDACTED*,*REDACTED*,*REDACTED*
TeamsSessionStarted,*REDACTED*,*REDACTED*,2019-12-02T09:31:36,1,25,MicrosoftTeams,0,*REDACTED*,*REDACTED*,*REDACTED*
TeamsSessionStarted,*REDACTED*,*REDACTED*,2019-12-02T09:31:36,1,25,MicrosoftTeams,0,*REDACTED*,*REDACTED*,*REDACTED*
TeamsSessionStarted,*REDACTED*,*REDACTED*,2019-12-02T09:32:04,1,25,MicrosoftTeams,0,*REDACTED*,*REDACTED*,*REDACTED*
TeamsSessionStarted,*REDACTED*,*REDACTED*,2019-12-02T09:32:04,1,25,MicrosoftTeams,0,*REDACTED*,*REDACTED*,*REDACTED*
TeamsSessionStarted,*REDACTED*,*REDACTED*,2019-12-02T09:32:33,1,25,MicrosoftTeams,0,*REDACTED*,*REDACTED*,*REDACTED*
TeamsSessionStarted,*REDACTED*,*REDACTED*,2019-12-02T09:32:33,1,25,MicrosoftTeams,0,*REDACTED*,*REDACTED*,*REDACTED*
TeamsSessionStarted,*REDACTED*,*REDACTED*,2019-12-02T09:32:58,1,25,MicrosoftTeams,0,*REDACTED*,*REDACTED*,*REDACTED*
TeamsSessionStarted,*REDACTED*,*REDACTED*,2019-12-02T09:32:58,1,25,MicrosoftTeams,0,*REDACTED*,*REDACTED*,*REDACTED*
TeamsSessionStarted,*REDACTED*,*REDACTED*,2019-12-02T09:33:28,1,25,MicrosoftTeams,0,*REDACTED*,*REDACTED*,*REDACTED*
TeamsSessionStarted,*REDACTED*,*REDACTED*,2019-12-02T09:33:28,1,25,MicrosoftTeams,0,*REDACTED*,*REDACTED*,*REDACTED*
